neighbourhood,type,E,H,geothermal,TEO,HT,MT,LT,undefined,backup,undecided,useful_heat,heat_reduction
BU05020997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05020998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05020998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05031100,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05031100,utility,135.58461539,,,,,,,,,2.4769230779999996,2.4769230779999996,0.0
BU05032205,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05032205,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05050706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05050706,utility,1094.361538505,,,,,,,,,20.861538505,20.861538505,0.0
BU05051112,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05051112,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05184209,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05184209,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05992650,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05992650,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06030772,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06030772,utility,1354.95384662,,,,,,,,,19.423076891999997,19.423076891999997,0.0
BU06100402,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06100402,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06100405,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06100405,utility,6353.107692560001,,,,,,,,,353.230768928,353.230768928,0.0
BU06130706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06130706,utility,10238.400000971998,,,,,,,,,680.4000019440001,680.4000019440001,0.0
BU06420103,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420103,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06420105,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420105,utility,7202.492307119999,,,,,,,,,145.93846179599998,145.93846179599998,0.0
BU06420204,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420204,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06420409,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420409,utility,6912.06923022,,,,,,,,,225.184615467,225.184615467,0.0
BU06420706,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06420706,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640101,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06640101,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640103,residences,0.0,,,,,,,,,0,0,0.0
BU06640103,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640107,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06640107,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06640111,residences,0.0,,,,,,,,,0,0,0.0
BU06640111,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06870503,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06870503,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07180702,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07180702,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07370501,residences,0.0,,,,,,,,,0,0,0.0
BU07370501,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16212254,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16212254,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16212644,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16212644,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU18920210,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU18920210,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040210,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040210,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040304,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040304,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040305,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040305,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040803,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040803,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19040907,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19040907,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19041004,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19041004,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19610502,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19610502,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690000,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690000,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690001,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690001,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690002,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690002,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690006,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690006,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690007,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690007,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690008,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690008,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690009,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690009,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690100,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690100,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690109,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690109,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690200,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690200,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690201,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690201,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690202,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690202,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690209,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690209,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690300,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690300,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690301,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690301,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690309,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690309,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690401,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690401,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690402,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690402,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690403,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690403,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690404,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690404,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690408,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690408,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690409,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690409,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690500,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690500,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690501,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690501,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690502,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690502,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690503,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690503,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690507,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690507,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690508,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690508,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690509,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690509,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690600,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690600,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690601,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690601,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690609,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690609,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690700,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690700,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690701,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690701,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690709,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690709,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690800,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690800,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690809,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690809,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690900,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690900,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19690909,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19690909,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691000,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691000,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691009,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691009,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691100,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691100,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691102,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691102,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691103,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691103,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691104,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691104,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691105,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691105,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691106,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691106,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691107,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691107,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691108,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691108,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691109,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691109,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691200,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691200,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691201,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691201,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691202,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691202,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691204,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691204,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691208,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691208,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691209,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691209,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691300,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691300,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691301,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691301,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691302,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691302,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691309,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691309,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691400,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691400,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691401,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691401,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691402,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691402,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691403,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691403,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691409,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691409,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691500,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691500,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691502,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691502,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691503,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691503,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691504,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691504,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691509,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691509,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691600,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691600,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691601,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691601,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691603,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691603,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691604,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691604,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691608,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691608,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691609,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691609,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691700,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691700,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691701,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691701,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691702,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691702,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19691709,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19691709,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19780103,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19780103,utility,2827.9076924200003,,,,,,,,,56.153846064,56.153846064,0.0
BU19780601,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19780601,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19780605,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19780605,utility,842.561538495,,,,,,,,,66.253846194,66.253846194,0.0
BU19780701,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19780701,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19780901,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19780901,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19781302,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19781302,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19781401,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19781401,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19781509,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19781509,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU00609998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU00609998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU00889998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU00889998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03139997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03139997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03179997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03179997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03759998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03759998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03779998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03779998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03839998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03839998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03969998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU03969998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU04739998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU04739998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05059997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05059997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05189998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05189998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05309997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05309997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05309998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05309998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU05999998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU05999998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06149998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06149998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06549998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06549998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06649997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06649997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06649998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06649998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06779998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06779998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06789998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06789998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU06879997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU06879997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07039998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07039998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07159998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07159998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07169997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07169997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07169998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07169998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07179997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07179997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07179998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07179998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU07189998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU07189998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16769997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16769997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16769998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16769998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16959997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16959997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU16959998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU16959998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU17149998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU17149998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU17839998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU17839998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19249997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19249997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19249998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19249998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19309997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19309997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19639997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19639997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19699997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19699997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19709997,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19709997,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU19709998,residences,0.0,,,,,,,,,0.0,0.0,0.0
BU19709998,utility,0.0,,,,,,,,,0.0,0.0,0.0
BU03072505,residences,0.0,,,,,,,,,,0.0,0.0
BU03072505,utility,241.1254653022379,,,,,,,,,,17.489725527142138,1.471812967857862
BU03072804,residences,28441.533333333333,,,,,,,,,,7922.0,0.0
BU03072804,utility,3213.413858168652,,,,,,,,,,843.7442787999435,55.42495355605658
BU03072805,residences,0.0,,,,,,,,,,0.0,0.0
BU03072805,utility,39289.8584612912,,,,,,,,,,1298.1230806320002,0.0
BU03072900,residences,6420.0,,,,23112.0,,,,6163.199999999999,,23112.0,0.0
BU03072900,utility,0.0,,,,0.0,,,,0.0,,0.0,0.0
BU03072902,residences,3790.0,,,,13644.0,,,,3638.399999999999,,13644.0,0.0
BU03072902,utility,2.384615387,,,,8.584615387000001,,,,2.2892307698666663,,8.584615387000001,0.0
BU03073100,residences,0.0,,,,,,,,,,0.0,0.0
BU03073100,utility,51164.20353130868,,,,,,,,,,1433.7248426575402,115.10592426645992
BU03073101,residences,122778.0,,,,30156.0,,,,8041.5999999999985,,30156.0,0.0
BU03073101,utility,677.861538521,,,,166.492308168,,,,44.39794884479999,,166.492308168,0.0
BU03100803,residences,0.0,,,,,,,,,,0.0,0.0
BU03100803,utility,6607.975369596774,,,,,,,,,,218.5037894466514,70.75774849834859
BU03100902,residences,2682.5742566477234,122.22631492785143,,,,,,,,,220.00736687013259,9.992633129867402
BU03100902,utility,29588.15676186869,1408.700855313333,,,,,,,,,2535.6615395639997,0.0
BU03170211,residences,0.0,,,,,,,,,,0.0,0.0
BU03170211,utility,151.91025640406667,,,,,,,,,,1.307692309,0.0
BU03211230,residences,52554.0,,,,13830.0,,,,3687.999999999999,,13830.0,0.0
BU03211230,utility,6056.030769762,,,,1593.6923092859997,,,,424.98461580959986,,1593.6923092859997,0.0
BU03211232,residences,7620.0,,,,,,25908.0,,9144.000000000002,,25908.0,0.0
BU03211232,utility,0.0,,,,,,0.0,,0.0,,0.0,0.0
BU03211233,residences,4230.0,,,13536.0,,,,,4777.411764705884,,13536.0,0.0
BU03211233,utility,166.84615401300002,,,528.51612611513,,,,,186.53510333475177,,528.51612611513,5.39156585887006
BU03211234,residences,4968.0,,,,17112.0,,,,4563.199999999999,,17112.0,0.0
BU03211234,utility,0.0,,,,0.0,,,,0.0,,0.0,0.0
BU03211236,residences,92378.0,,,,8778.0,,,,2340.7999999999993,,8778.0,0.0
